Feature,RF_Mean_Abs_SHAP,XGB_Mean_Abs_SHAP
wallet_access_status_Yes,13.43210003156653,13.054620421808835
pii_handling_status_Yes,9.884382544577553,9.930314552363393
spending_limits,16.344111716700148,16.75872555893903
SLOC,0.3903608702505364,0.5868647433054442
LLOC,0.394519488332459,0.5750765439787735
CLOC,0.41301457304280786,0.39646986051697586
NF,0.2424127700768389,0.35851654252106313
WMC,0.33969383830909167,0.42733770718368824
NL,0.14607022487241036,0.15703632320280111
NLE,0.1481348570398984,0.1941971723525807
NUMPAR,0.2709281124712774,0.42045120582346024
NOS,0.30556426247376595,0.48136456585638443
DIT,0.16736805187311937,0.12960941732682013
NOA,0.12666106417940384,0.10034965461498815
NOD,0.18027596921437186,0.25524115548690124
CBO,0.2660259032807404,0.2738361399411481
NA,0.22817230557284487,0.23408500189284567
NOI,0.2867801855395963,0.2836812535894568
Avg_McCC,0.416620759710653,0.3862256467701556
Avg_NL,0.2432551384284806,0.3289096473541467
Avg_NLE,0.26845694961777494,0.25658605706442755
Avg_NUMPAR,0.3335692747561434,0.47900768722162546
Avg_NOS,0.39091880431054127,0.5307571007707164
Avg_NOI,0.3103750622315766,0.46858327036492453
