feature,importance
mh_pca_24,0.0
mh_pca_34,0.0
mh_pca_33,0.0
mh_pca_35,3.0529297293141385e-06
NOS,6.2273174363219934e-06
NOA,1.093130427052195e-05
DIT,1.697872298523301e-05
SLOC,4.248012674755188e-05
Avg_NOS,5.4521494270044315e-05
LLOC,7.882940621428274e-05
mh_pca_21,0.00011373663114738892
mh_pca_16,0.00011759322546204741
NA,0.00016580692090370096
mh_pca_12,0.00020621608495605947
mh_pca_2,0.00034700219614582317
Avg_NL,0.0006770839152798925
WMC,0.000686445062901024
Avg_NUMPAR,0.0008249514373777418
mh_pca_40,0.0027492359758326352
mh_pca_38,0.006420691976827826
mh_pca_14,0.019977976529984193
mh_pca_13,0.03031032531672043
mh_pca_18,0.03243856191020185
NLE,0.034745652260333736
mh_pca_30,0.047298248370670516
mh_pca_7,0.04867002542582805
network_activity_status,0.10703315209562785
mh_pca_3,0.15517838750402893
mh_pca_17,0.23183056758017162
mh_pca_5,0.2799953182779454
